location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Şişli , Harbiye Mah.,1,1,65,20,4,19000,0.0008043653122893976,0.10080436531228941,0.092
İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147,19,4,40000,0.001717428639753038,0.10171742863975304,0.092
İstanbul , Sarıyer , Büyükdere Mah.,1,1,55,28,1,20000,0.0008478445183590947,0.1008478445183591,0.092
İstanbul , Tuzla , İstasyon Mah.,3,1,120,8,1,35000,0.0015000326094045523,0.0015000326094045523,0.001
İstanbul , Bayrampaşa , Muratpaşa Mah.,3,1,160,30,4,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Kartal , Atalar Mah.,3,1,140,15,5,38000,0.0016304702276136438,0.0016304702276136438,0.001
İstanbul , Silivri , İsmetpaşa Mah.,2,1,90,8,1,15500,0.0006521880910454575,0.0006521880910454575,0.001
İstanbul , Kartal , Topselvi Mah.,3,1,135,25,2,26000,0.0011087197547772778,0.0011087197547772778,0.001
İstanbul , Üsküdar , İcadiye Mah.,3,1,120,35,4,35000,0.0015000326094045523,0.10150003260940456,0.092
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,90,35,4,25000,0.0010652405487075805,0.10106524054870758,0.092
İstanbul , Sarıyer , Darüşşafaka Mah.,1,1,70,30,1,20000,0.0008478445183590947,0.1008478445183591,0.092
İstanbul , Beyoğlu , Pürtelaş Hasan Efendi Mah.,2,1,75,60,1,36000,0.0015435118154742493,0.10154351181547426,0.092
İstanbul , Sarıyer , Maslak Mah.,3,1,367,7,21,125000,0.005413161155677297,0.10541316115567731,0.096
İstanbul , Adalar , Heybeliada Mah.,2,1,85,38,3,35000,0.0015000326094045523,0.0015000326094045523,0.001
İstanbul , Bahçelievler , Zafer Mah.,3,1,115,13,5,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Beyoğlu , Sütlüce Mah.,2,1,110,27,3,36000,0.0015435118154742493,0.10154351181547426,0.092
İstanbul , Sarıyer , Maslak Mah.,3,1,280,7,21,125000,0.005413161155677297,0.10541316115567731,0.096
İstanbul , Şişli , Paşa Mah.,2,1,86,15,1,28000,0.001195678166916672,0.10119567816691667,0.092
İstanbul , Sarıyer , Tarabya Mah.,1,1,50,35,1,13000,0.0005434900758712146,0.10054349007587123,0.091
İstanbul , Kağıthane , Harmantepe Mah.,1,1,80,25,1,14000,0.0005869692819409117,0.0005869692819409117,0.001
İstanbul , Kağıthane , Telsizler Mah.,1,1,25,30,-1,10000,0.0004130524576621231,0.0004130524576621231,0.0
İstanbul , Pendik , Esenler Mah.,2,1,80,16,1,18000,0.0007608861062197005,0.0007608861062197005,0.001
İstanbul , Pendik , Fatih Mah.,3,1,106,0,8,29000,0.0012391573729863693,0.0012391573729863693,0.001
